42.3754-72.5031,"42.3754,-72.5031",56,64,128.119.246.137,371,4
42.3754-72.5031,"42.3754,-72.5031",56,64,128.119.246.137,370,4
42.3754-72.5031,"42.3754,-72.5031",56,64,128.119.246.137,89,4
42.3754-72.5031,"42.3754,-72.5031",56,64,128.119.246.137,49,4
42.3754-72.5031,"42.3754,-72.5031",56,64,128.119.246.137,88,4
42.3754-72.5031,"42.3754,-72.5031",56,64,128.119.246.137,65,4
42.3754-72.5031,"42.3754,-72.5031",56,64,128.119.246.137,87,4
42.3754-72.5031,"42.3754,-72.5031",56,64,128.119.246.137,66,4
42.3754-72.5031,"42.3754,-72.5031",56,64,128.119.246.137,67,4
42.3754-72.5031,"42.3754,-72.5031",56,64,128.119.246.137,85,4
9.03338.7,"9.033,38.7",56,101,213.55.85.89,10776,1
9.03338.7,"9.033,38.7",52,101,213.55.85.89,10776,1
9.03338.7,"9.033,38.7",55,101,213.55.85.89,10776,1
9.03338.7,"9.033,38.7",53,101,213.55.85.89,10776,1
37.3956-122.076,"37.3956,-122.076",43,102,72.14.199.48,10775,1
37.3956-122.076,"37.3956,-122.076",41,102,72.14.199.48,10775,1
37.3956-122.076,"37.3956,-122.076",42,102,72.14.199.48,10775,1
37.3956-122.076,"37.3956,-122.076",44,102,72.14.199.48,10775,1
37.3956-122.076,"37.3956,-122.076",37,102,72.14.199.48,10775,1
37.3956-122.076,"37.3956,-122.076",38,102,72.14.199.48,10775,1
37.3956-122.076,"37.3956,-122.076",40,102,72.14.199.48,10775,1
37.3956-122.076,"37.3956,-122.076",39,102,72.14.199.48,10775,1
37.3956-122.076,"37.3956,-122.076",46,102,72.14.199.48,10775,1
37.3956-122.076,"37.3956,-122.076",45,102,72.14.199.48,10775,1
37.3956-122.076,"37.3956,-122.076",47,102,72.14.199.48,10775,1
37.3956-122.076,"37.3956,-122.076",49,102,72.14.199.48,10775,1
37.3956-122.076,"37.3956,-122.076",48,102,72.14.199.48,10775,1
37.3956-122.076,"37.3956,-122.076",75,102,72.14.199.48,10775,2
37.3956-122.076,"37.3956,-122.076",76,102,72.14.199.48,10775,2
37.3956-122.076,"37.3956,-122.076",74,102,72.14.199.48,10775,2
37.3956-122.076,"37.3956,-122.076",73,102,72.14.199.48,10775,2
37.3956-122.076,"37.3956,-122.076",78,102,72.14.199.48,10775,2
37.3956-122.076,"37.3956,-122.076",81,102,72.14.199.48,10775,2
37.3956-122.076,"37.3956,-122.076",80,102,72.14.199.48,10775,2
37.3956-122.076,"37.3956,-122.076",77,102,72.14.199.48,10775,2
37.3956-122.076,"37.3956,-122.076",79,102,72.14.199.48,10775,2
37.3956-122.076,"37.3956,-122.076",71,102,72.14.199.48,10775,2
37.3956-122.076,"37.3956,-122.076",71,102,72.14.199.78,10775,2
37.3956-122.076,"37.3956,-122.076",70,102,72.14.199.48,10775,2
37.3956-122.076,"37.3956,-122.076",72,102,72.14.199.48,10775,2
37.3956-122.076,"37.3956,-122.076",69,102,72.14.199.48,10775,2
37.3956-122.076,"37.3956,-122.076",28,102,72.14.199.48,10775,3
37.3956-122.076,"37.3956,-122.076",27,102,72.14.199.48,10775,3
37.3956-122.076,"37.3956,-122.076",30,102,72.14.199.48,10775,3
37.3956-122.076,"37.3956,-122.076",31,102,72.14.199.48,10775,3
37.3956-122.076,"37.3956,-122.076",34,102,72.14.199.48,10775,3
37.3956-122.076,"37.3956,-122.076",33,102,72.14.199.78,10775,3
37.3956-122.076,"37.3956,-122.076",34,102,72.14.199.78,10775,3
37.3956-122.076,"37.3956,-122.076",29,102,72.14.199.48,10775,3
37.3956-122.076,"37.3956,-122.076",23,102,72.14.199.48,10775,3
37.3956-122.076,"37.3956,-122.076",22,102,72.14.199.48,10775,3
37.3956-122.076,"37.3956,-122.076",24,102,72.14.199.48,10775,3
37.3956-122.076,"37.3956,-122.076",26,102,72.14.199.48,10775,3
37.3956-122.076,"37.3956,-122.076",25,102,72.14.199.48,10775,3
37.3956-122.076,"37.3956,-122.076",33,102,72.14.199.48,10775,3
37.3956-122.076,"37.3956,-122.076",32,102,72.14.199.48,10775,3
37.3956-122.076,"37.3956,-122.076",36,102,72.14.199.48,10775,4
37.3956-122.076,"37.3956,-122.076",35,102,72.14.199.48,10775,4
37.3956-122.076,"37.3956,-122.076",82,102,72.14.199.48,10775,5
37.3956-122.076,"37.3956,-122.076",82,102,72.14.199.78,10775,5
37.3956-122.076,"37.3956,-122.076",84,102,72.14.199.48,10775,5
37.3956-122.076,"37.3956,-122.076",83,102,72.14.199.48,10775,5
37.3956-122.076,"37.3956,-122.076",83,102,72.14.199.78,10775,5
37.3956-122.076,"37.3956,-122.076",88,102,72.14.199.48,10775,5
37.3956-122.076,"37.3956,-122.076",85,102,72.14.199.48,10775,5
37.3956-122.076,"37.3956,-122.076",87,102,72.14.199.48,10775,5
37.3956-122.076,"37.3956,-122.076",86,102,72.14.199.48,10775,5
37.3956-122.076,"37.3956,-122.076",111,102,72.14.199.48,10775,6
37.3956-122.076,"37.3956,-122.076",115,102,72.14.199.48,10775,6
37.3956-122.076,"37.3956,-122.076",106,102,72.14.199.48,10775,6
37.3956-122.076,"37.3956,-122.076",116,102,72.14.199.48,10775,6
37.3956-122.076,"37.3956,-122.076",107,102,72.14.199.48,10775,6
37.3956-122.076,"37.3956,-122.076",110,102,72.14.199.48,10775,6
37.3956-122.076,"37.3956,-122.076",113,102,72.14.199.48,10775,6
37.3956-122.076,"37.3956,-122.076",114,102,72.14.199.48,10775,6
37.3956-122.076,"37.3956,-122.076",109,102,72.14.199.48,10775,6
37.3956-122.076,"37.3956,-122.076",108,102,72.14.199.48,10775,6
37.3956-122.076,"37.3956,-122.076",117,102,72.14.199.48,10775,6
37.3956-122.076,"37.3956,-122.076",105,102,72.14.199.48,10775,6
37.3956-122.076,"37.3956,-122.076",112,102,72.14.199.48,10775,6
37.3956-122.076,"37.3956,-122.076",17,102,72.14.199.48,10775,7
37.3956-122.076,"37.3956,-122.076",16,102,72.14.199.48,10775,7
37.3956-122.076,"37.3956,-122.076",19,102,72.14.199.48,10775,7
37.3956-122.076,"37.3956,-122.076",21,102,72.14.199.48,10775,7
37.3956-122.076,"37.3956,-122.076",20,102,72.14.199.48,10775,7
37.3956-122.076,"37.3956,-122.076",18,102,72.14.199.48,10775,7
37.3956-122.076,"37.3956,-122.076",14,102,72.14.199.48,10775,7
37.3956-122.076,"37.3956,-122.076",15,102,72.14.199.48,10775,7
37.3956-122.076,"37.3956,-122.076",63,102,72.14.199.48,10775,8
37.3956-122.076,"37.3956,-122.076",62,102,72.14.199.48,10775,8
37.3956-122.076,"37.3956,-122.076",64,102,72.14.199.48,10775,8
37.3956-122.076,"37.3956,-122.076",65,102,72.14.199.48,10775,8
37.3956-122.076,"37.3956,-122.076",66,102,72.14.199.48,10775,8
37.3956-122.076,"37.3956,-122.076",59,102,72.14.199.78,10775,8
37.3956-122.076,"37.3956,-122.076",59,102,72.14.199.48,10775,8
37.3956-122.076,"37.3956,-122.076",57,102,72.14.199.48,10775,8
37.3956-122.076,"37.3956,-122.076",58,102,72.14.199.48,10775,8
37.3956-122.076,"37.3956,-122.076",58,102,72.14.199.78,10775,8
37.3956-122.076,"37.3956,-122.076",61,102,72.14.199.48,10775,8
37.3956-122.076,"37.3956,-122.076",60,102,72.14.199.48,10775,8
37.3956-122.076,"37.3956,-122.076",60,102,72.14.199.78,10775,8
37.3956-122.076,"37.3956,-122.076",67,102,72.14.199.48,10775,8
37.3956-122.076,"37.3956,-122.076",68,102,72.14.199.48,10775,8
37.3956-122.076,"37.3956,-122.076",52,102,72.14.199.48,10775,9
37.3956-122.076,"37.3956,-122.076",51,102,72.14.199.48,10775,9
37.3956-122.076,"37.3956,-122.076",53,102,72.14.199.48,10775,9
37.3956-122.076,"37.3956,-122.076",50,102,72.14.199.48,10775,9
37.3956-122.076,"37.3956,-122.076",55,102,72.14.199.48,10775,9
37.3956-122.076,"37.3956,-122.076",56,102,72.14.199.48,10775,9
37.3956-122.076,"37.3956,-122.076",54,102,72.14.199.48,10775,9
37.3956-122.076,"37.3956,-122.076",283,102,72.14.199.100,10775,10
37.3956-122.076,"37.3956,-122.076",283,102,72.14.199.106,10775,10
37.3956-122.076,"37.3956,-122.076",284,102,72.14.199.106,10775,10
37.3956-122.076,"37.3956,-122.076",284,102,72.14.199.100,10775,10
37.3956-122.076,"37.3956,-122.076",281,102,72.14.199.106,10775,10
37.3956-122.076,"37.3956,-122.076",285,102,72.14.199.100,10775,10
37.3956-122.076,"37.3956,-122.076",285,102,72.14.199.106,10775,10
37.3956-122.076,"37.3956,-122.076",286,102,72.14.199.106,10775,10
37.3956-122.076,"37.3956,-122.076",286,102,72.14.199.100,10775,10
37.3956-122.076,"37.3956,-122.076",281,102,72.14.199.100,10775,10
37.3956-122.076,"37.3956,-122.076",280,102,72.14.199.100,10775,10
37.3956-122.076,"37.3956,-122.076",287,102,72.14.199.106,10775,10
37.3956-122.076,"37.3956,-122.076",287,102,72.14.199.100,10775,10
37.3956-122.076,"37.3956,-122.076",102,102,72.14.199.48,10775,11
37.3956-122.076,"37.3956,-122.076",98,102,72.14.199.48,10775,11
37.3956-122.076,"37.3956,-122.076",103,102,72.14.199.48,10775,11
37.3956-122.076,"37.3956,-122.076",99,102,72.14.199.48,10775,11
37.3956-122.076,"37.3956,-122.076",101,102,72.14.199.48,10775,11
37.3956-122.076,"37.3956,-122.076",104,102,72.14.199.48,10775,11
37.3956-122.076,"37.3956,-122.076",100,102,72.14.199.48,10775,11
37.3956-122.076,"37.3956,-122.076",93,102,72.14.199.48,10775,12
37.3956-122.076,"37.3956,-122.076",90,102,72.14.199.48,10775,12
37.3956-122.076,"37.3956,-122.076",91,102,72.14.199.48,10775,12
37.3956-122.076,"37.3956,-122.076",89,102,72.14.199.48,10775,12
37.3956-122.076,"37.3956,-122.076",92,102,72.14.199.48,10775,12
37.3956-122.076,"37.3956,-122.076",94,102,72.14.199.48,10775,12
37.3956-122.076,"37.3956,-122.076",131,102,72.14.199.48,10775,13
37.3956-122.076,"37.3956,-122.076",137,102,72.14.199.48,10775,13
37.3956-122.076,"37.3956,-122.076",134,102,72.14.199.48,10775,13
37.3956-122.076,"37.3956,-122.076",128,102,72.14.199.48,10775,13
37.3956-122.076,"37.3956,-122.076",136,102,72.14.199.48,10775,13
37.3956-122.076,"37.3956,-122.076",135,102,72.14.199.48,10775,13
37.3956-122.076,"37.3956,-122.076",133,102,72.14.199.48,10775,13
37.3956-122.076,"37.3956,-122.076",129,102,72.14.199.48,10775,13
37.3956-122.076,"37.3956,-122.076",132,102,72.14.199.48,10775,13
37.3956-122.076,"37.3956,-122.076",130,102,72.14.199.48,10775,13
37.3956-122.076,"37.3956,-122.076",126,102,72.14.199.48,10775,13
37.3956-122.076,"37.3956,-122.076",127,102,72.14.199.48,10775,13
37.3956-122.076,"37.3956,-122.076",125,102,72.14.199.48,10775,13
37.3956-122.076,"37.3956,-122.076",118,102,72.14.199.48,10775,14
37.3956-122.076,"37.3956,-122.076",120,102,72.14.199.48,10775,14
37.3956-122.076,"37.3956,-122.076",121,102,72.14.199.48,10775,14
37.3956-122.076,"37.3956,-122.076",122,102,72.14.199.48,10775,14
37.3956-122.076,"37.3956,-122.076",119,102,72.14.199.48,10775,14
37.3956-122.076,"37.3956,-122.076",119,102,72.14.199.78,10775,14
37.3956-122.076,"37.3956,-122.076",120,102,72.14.199.78,10775,14
37.3956-122.076,"37.3956,-122.076",123,102,72.14.199.48,10775,14
37.3956-122.076,"37.3956,-122.076",124,102,72.14.199.48,10775,14
37.3956-122.076,"37.3956,-122.076",138,102,72.14.199.48,10775,15
37.3956-122.076,"37.3956,-122.076",139,102,72.14.199.48,10775,15
37.3779-122.027,"37.3779,-122.027",140,102,67.148.60.185,10775,15
37.3956-122.076,"37.3956,-122.076",4,102,72.14.199.78,10775,16
23.117113.25,"23.117,113.25",79,149,113.108.133.52,247,1
23.117113.25,"23.117,113.25",79,149,113.108.133.52,3583,1
3.167101.7,"3.167,101.7",124,165,161.139.220.11,406,1
3.167101.7,"3.167,101.7",126,165,161.139.220.11,406,1
3.167101.7,"3.167,101.7",120,165,161.139.220.11,406,1
3.167101.7,"3.167,101.7",118,165,161.139.220.11,406,1
40.4427-86.9237,"40.4427,-86.9237",21,179,128.46.94.147,7486,1
40.4427-86.9237,"40.4427,-86.9237",21,179,128.46.94.147,519,1
40.4427-86.9237,"40.4427,-86.9237",21,179,128.46.94.147,101,1
40.4427-86.9237,"40.4427,-86.9237",21,179,128.46.94.147,6806,1
40.4091-86.8592,"40.4091,-86.8592",21,179,98.223.79.50,519,1
40.4091-86.8592,"40.4091,-86.8592",21,179,98.223.79.50,101,1
40.4091-86.8592,"40.4091,-86.8592",21,179,98.223.79.50,7486,1
40.4091-86.8592,"40.4091,-86.8592",21,179,98.223.79.50,6806,1
40.4427-86.9237,"40.4427,-86.9237",17,179,128.46.94.235,101,1
40.4427-86.9237,"40.4427,-86.9237",17,179,128.46.94.235,519,1
40.4427-86.9237,"40.4427,-86.9237",17,179,128.46.94.235,6806,1
40.4427-86.9237,"40.4427,-86.9237",17,179,128.46.94.235,7486,1
40.4427-86.9237,"40.4427,-86.9237",22,179,128.46.94.224,7486,1
